id,name,positions,foot,height,age,nationality,current_club,gls,assists,mp,league,cpf
3fc45c73,Inigo Martinez,Defender,Left,181,34,Spain,206d90db,2,5,39,La Liga,e31d1cd9 206d90db 2b390eca
8d78e732,Robert Lewandowski,Forward,Right,185,36,Poland,206d90db,38,2,47,La Liga,add600ae fdba14df 206d90db 054efa67
5ccc9672,Alejandro Balde,Defender,Left,175,21,Spain,206d90db,0,6,42,La Liga,206d90db
01b8a2b2,Wojciech Szczesny,Goalkeeper,Right,195,35,Poland,206d90db,0,0,23,La Liga,e0652b02 206d90db cf74a709 18bb7c10 cd051869
1bacc518,Frenkie de Jong,Defender Midfielder,Right,180,28,Netherlands,206d90db,2,2,39,La Liga,a26209d7 19c3f8c4 206d90db f0479d7b
2ef08833,Marc Casado,Midfielder,None,172,21,Spain,206d90db,1,5,33,La Liga,206d90db
2bed3eab,Eric Garcia,Defender,Right,183,24,Spain,206d90db,4,3,38,La Liga,b8fd03ef 206d90db 9024a00a e41e516f
c1fe5f0b,Fermin Lopez,Midfielder,None,None,22,Spain,206d90db,7,8,39,La Liga,206d90db
cc1c5035,Inaki Pena ,Goalkeeper,Right,184,26,Spain,206d90db,0,0,21,La Liga,ecd11ca2 206d90db
9e1035f8,Ferran Torres,Midfielder Forward,Right,184,25,Spain,206d90db,13,7,38,La Liga,b8fd03ef dcc91a7b 206d90db
ae44e8e2,Dani Olmo,Midfielder Forward,Right,176,27,Spain,206d90db,12,4,34,La Liga,206d90db acbb6a5b edd0d381
b792c59d,Gerard Martin,Defender,Left,None,23,Spain,206d90db,1,6,36,La Liga,206d90db
19cae58d,Gavi,Midfielder Forward,Right,173,20,Spain,206d90db,1,1,36,La Liga,206d90db
2bef2bca,Ronald Araujo,Defender,Right,188,26,Uruguay,206d90db,2,1,20,La Liga,d10036ca 206d90db
6f51e382,Marc-Andre ter Stegen,Goalkeeper,Right,189,33,Germany,206d90db,0,0,9,La Liga,206d90db 32f3ee20
2e31f3a6,Hector Fort,Defender,Right,182,18,Spain,206d90db,0,0,19,La Liga,206d90db
04e531b6,Pablo Torre,Midfielder,None,173,22,Spain,206d90db,3,1,12,La Liga,9024a00a 206d90db
e6e7c819,Pau Victor Delgado,Forward,None,None,23,Spain,206d90db,2,1,27,La Liga,9024a00a 206d90db
0ba976e4,Ansu Fati,Forward,Right,178,22,Spain,206d90db,0,0,10,La Liga,d07537b9 206d90db
1cb49278,Andreas Christensen,Defender Midfielder,Right,188,29,Denmark,206d90db,0,0,6,La Liga,206d90db cff3d9bb 32f3ee20
29117812,Marc Bernal,Midfielder,None,188,18,Spain,206d90db,0,0,3,La Liga,206d90db
88507352,Sergi Dominguez,Defender,None,None,20,Spain,206d90db,0,0,5,La Liga,206d90db
f9cbad15,Daniel Rodriguez,Midfielder,None,None,19,Spain,206d90db,0,0,1,La Liga,206d90db
285ff324,Toni Fernandez,Midfielder,None,None,16,Spain,206d90db,0,0,0,None,206d90db
2eefd1b3,Andres Cuenca,Defender,None,181,17,Spain,206d90db,0,0,1,None,206d90db
497144d6,Diego Kochen,Goalkeeper,None,None,19,United States,206d90db,0,0,0,None,206d90db
031e0283,Ander Astralaga,Goalkeeper,None,190,21,Spain,206d90db,0,0,0,None,206d90db
64f76c60,Noah Darvich,Midfielder,None,184,18,Germany,206d90db,0,0,0,La Liga,206d90db 32dd63ea
4390bf25,Guillermo Fernandez,Midfielder,None,None,16,Spain,206d90db,0,0,0,None,206d90db
47952f83,Landry Farre,Defender,None,None,18,Spain,206d90db,0,0,0,None,206d90db
0b8c9180,Aron Yaakobishvili,Goalkeeper,None,None,19,Hungary,206d90db,0,0,0,None,206d90db
97022551,Alex Valle,Defender,None,None,21,Spain,28c9c3cd,0,4,31,Premiership,9800b6a1 206d90db 73178cb3 b81aa4fa 28c9c3cd
30426d5a,Alexis Olmedo,Defender,Right,None,19,Spain,206d90db,0,0,0,None,206d90db
2c6f1580,Alvaro Cortes,Defender,None,None,20,Spain,206d90db,0,0,0,None,206d90db
e342ad68,Mohamed Salah,Midfielder Forward,Left,175,32,Egypt,822bd0ba,32,22,47,Premier League,d3d9424a cff3d9bb cf74a709 822bd0ba 421387cf
e06683ca,Virgil van Dijk,Defender,Right,193,33,Netherlands,822bd0ba,4,1,46,Premier League,33c895d4 822bd0ba ed54a8b3 b81aa4fa bec05adb
b8e740fb,Ryan Gravenberch,Midfielder,Right,190,23,Netherlands,822bd0ba,0,4,46,Premier League,822bd0ba 19c3f8c4 054efa67 a26209d7
83d074ff,Alexis Mac Allister,Midfielder,Right,174,26,Argentina,822bd0ba,7,5,43,Premier League,822bd0ba 795ca75e d07537b9 d01a653b
934e1968,Dominik Szoboszlai,Midfielder Forward,Right,186,24,Hungary,822bd0ba,7,7,45,Premier League,822bd0ba 50f2a074 acbb6a5b
5ed9b537,Ibrahima Konate,Defender,Right,193,26,France,822bd0ba,2,2,38,Premier League,b9cd3c9a e850256c 822bd0ba acbb6a5b
4a1a9578,Luis Diaz,Midfielder Forward,Right,180,28,Colombia,822bd0ba,16,5,45,Premier League,822bd0ba 5e876ee6 b281fa3b
2e4f5f03,Andrew Robertson,Defender Midfielder,Left,178,31,Scotland,822bd0ba,0,2,41,Premier League,e986ece7 822bd0ba bd8769d1
7a2e46a8,Alisson,Goalkeeper,Right,193,32,Brazil,822bd0ba,0,0,34,Premier League,6f7e1f03 cf74a709 822bd0ba
cd1acf9d,Trent Alexander-Arnold,Defender,Right,175,26,England,822bd0ba,3,7,41,Premier League,822bd0ba 071dd6bd
1971591f,Cody Gakpo,Midfielder Forward,Right,187,26,Netherlands,822bd0ba,13,5,43,Premier League,822bd0ba e334d850 8e1ea572
4fb9c88f,Curtis Jones,Midfielder Forward,Right,185,24,England,822bd0ba,3,5,41,Premier League,822bd0ba 33861392 071dd6bd
4d77b365,Darwin Nunez,Forward,Right,187,25,Uruguay,822bd0ba,6,3,39,Premier League,822bd0ba e2d73ee6 78ecf4bb a77c513e
178ae8f8,Diogo Jota,Midfielder Forward,Right,178,28,Portugal,822bd0ba,6,3,30,Premier League,822bd0ba f6af6f6f 5e876ee6 8cec06e1
62d7ef38,Caoimhin Kelleher,Goalkeeper,Right,188,26,Republic of Ireland,822bd0ba,0,0,14,Premier League,822bd0ba 33861392 071dd6bd
f315ca93,Kostas Tsimikas,Defender,Left,177,29,Greece,822bd0ba,0,2,24,Premier League,822bd0ba 2fdb4aef 31aa0dd4 f0479d7b
bbd67769,Conor Bradley,Defender Midfielder,Right,181,21,Northern Ireland,822bd0ba,0,3,24,Premier League,822bd0ba 445d3104 071dd6bd
4125cb98,Jarell Quansah,Defender,None,197,22,England,822bd0ba,0,0,17,Premier League,654f3ca6 822bd0ba 33861392 071dd6bd
c149016b,Wataru Endo,Defender Midfielder,Right,178,32,Japan,822bd0ba,0,0,26,Premier League,f812e711 598bc722 1a921e1f 822bd0ba 80328a1e
7a11550b,Joe Gomez,Defender,Right,188,28,England,822bd0ba,0,0,13,Premier League,7a8db6d4 822bd0ba 071dd6bd
b9e1436c,Harvey Elliott,Midfielder Forward,Left,170,22,England,822bd0ba,4,2,23,Premier League,e090f40b 822bd0ba 415ce479 071dd6bd fd962109
b0f7e36c,Federico Chiesa,Defender Midfielder Forward,Right,175,27,Italy,822bd0ba,0,0,9,Premier League,e0652b02 822bd0ba 421387cf
2bc28bb9,Tyler Morton,Midfielder,Right,178,22,England,822bd0ba,0,0,1,Premier League,33861392 e090f40b 822bd0ba 071dd6bd b4c2d36f bd8769d1
bf973eeb,James McConnell,Midfielder,None,None,20,England,33861392,0,0,1,Premier League,822bd0ba 33861392
1d3b3d77,Trey Nyoni,Midfielder,None,None,17,England,33861392,0,0,1,Premier League,822bd0ba 33861392 cc320bb0
003cf4d1,Jayden Danns,Forward,None,None,19,England,8ef52968,0,0,2,Premier League,822bd0ba 33861392
12bb4d6a,Vitezslav Jaros,Goalkeeper,Right,184,23,Czech Republic,822bd0ba,0,0,1,Premier League,3f4fe568 822bd0ba c6ce4b54 3b27de1f 071dd6bd
022eca88,Rio Ngumoha,Forward,None,None,16,England,33861392,0,0,0,PL2,33861392
0d7be441,Isaac Mabaya,Midfielder,None,None,20,England,33861392,0,0,0,PL2,33861392 071dd6bd
55f40df2,Trent Doherty,Midfielder,None,None,18,Republic of Ireland,33861392,0,0,0,PL2,33861392
398a24f6,Amara Nallo,Defender,None,None,18,England,33861392,0,0,1,Premier League,822bd0ba 33861392
788cd1c9,James Norris,Defender,None,195,22,England,a62918f6,0,0,0,PL2,33861392 071dd6bd 22327064
fd08a24b,Harvey Davies,Goalkeeper,None,186,21,England,33861392,0,0,0,Premier League,822bd0ba 33861392 071dd6bd f13a527f
25683300,Kieran Morrison,Midfielder,None,None,18,Northern Ireland,33861392,0,0,0,PL2,33861392
0426b987,Ranel Young,Midfielder,None,None,19,England,33861392,0,0,0,PL2,33861392
0959c2a2,Federico Valverde,Midfielder Forward,Right,183,26,Uruguay,53a2f082,6,7,50,La Liga,e2d73ee6 53a2f082 2a60ed82
42fd9c7f,Kylian Mbappe,Midfielder Forward,Right,178,26,France,53a2f082,38,4,48,La Liga,e2d8892c fd6114db 53a2f082
57d88cf9,Jude Bellingham,Midfielder,Right,186,21,England,53a2f082,12,11,44,La Liga,add600ae ec79b7c2 53a2f082
4f255115,Aurelien Tchouameni,Defender Midfielder,Right,185,25,France,53a2f082,0,0,43,La Liga,123f3efe fd6114db 53a2f082
1840e36d,Thibaut Courtois,Goalkeeper,Left,199,33,Belgium,53a2f082,0,0,42,La Liga,1e972a99 db3b9613 cff3d9bb 53a2f082
18b896d6,Antonio Rudiger,Defender,Right,191,32,Germany,53a2f082,2,0,42,La Liga,cff3d9bb 09080694 598bc722 cf74a709 2959ee71 53a2f082
7111d552,Vinicius Junior,Midfielder Forward,Right,177,24,Brazil,53a2f082,19,10,42,La Liga,53a2f082 639950ae
8f5e92a6,Rodrygo,Midfielder Forward,Right,174,24,Brazil,53a2f082,11,7,42,La Liga,712c528f 53a2f082
fd51b456,Lucas Vazquez,Defender Midfielder Forward,Right,173,33,Spain,53a2f082,2,6,42,La Liga,1b286de7 a8661628 53a2f082
4731cd4c,Raul Asencio,Defender,None,None,22,Spain,53a2f082,0,2,33,La Liga,53a2f082
7226539b,Fran Garcia,Defender,Left,167,25,Spain,53a2f082,0,2,40,La Liga,98e8af82 53a2f082
6025fab1,Luka Modric,Midfielder,Right,174,39,Croatia,53a2f082,2,9,49,La Liga,361ca564 53a2f082 edd0d381
3cefcaef,Ferland Mendy,Defender,Left,178,29,France,53a2f082,0,2,25,La Liga,5c2737db d53c0b06 53a2f082
407feb71,Brahim Diaz,Midfielder Forward,Right,170,25,Morocco,53a2f082,6,3,42,La Liga,b8fd03ef dc56fe14 53a2f082 e41e516f
7b9c2d84,Eduardo Camavinga,Defender Midfielder,Left,182,22,France,53a2f082,1,2,28,La Liga,b3072e00 53a2f082
c0617e2b,Dani Ceballos,Midfielder,Right,176,28,Spain,53a2f082,0,1,32,La Liga,18bb7c10 53a2f082 fc536746
3741ca58,Arda Guler,Midfielder,Left,176,20,Turkey,53a2f082,3,4,35,La Liga,ae1e2d7d 53a2f082
3061e1ec,Andriy Lunin,Goalkeeper,Right,191,26,Ukraine,53a2f082,0,0,9,La Liga,946a30cb ab358912 17859612 c4770a69 53a2f082 7c6f2c78
2784f898,Eder Militao,Defender Midfielder,Right,186,27,Brazil,53a2f082,1,1,16,La Liga,5f232eb1 5e876ee6 53a2f082
4958bfb2,Dani Carvajal,Defender,Right,173,33,Spain,53a2f082,1,1,10,La Liga,53a2f082 c7a9f859
a2728fbf,Endrick,Forward,Left,173,18,Brazil,53a2f082,2,0,31,La Liga,abdce579 53a2f082
05439de2,David Alaba,Defender Midfielder,Left,180,32,Austria,53a2f082,0,0,12,La Liga,033ea6b8 054efa67 9133b975 53a2f082
4772b1d1,Jacobo Ramon,Defender,None,None,20,Spain,53a2f082,1,0,4,La Liga,53a2f082
c2111b45,Jesus Vallejo,Defender,Right,183,28,Spain,53a2f082,0,1,4,La Liga,a0435291 800303a0 f0ac8ee6 8cec06e1 53a2f082
2b16b2f5,Diego Aguado,Defender,None,None,18,Spain,53a2f082,0,0,0,None,53a2f082
5e550a91,Fran,Goalkeeper,None,None,19,Spain,53a2f082,0,0,1,La Liga,53a2f082
beae81e1,Lorenzo Aguado,Defender,None,177,22,Spain,53a2f082,0,0,2,La Liga,53a2f082
74c2d562,Gonzalo Garcia,Midfielder,None,None,21,Spain,53a2f082,0,1,3,La Liga,53a2f082
39ef21fa,Chema,Midfielder,None,None,20,Spain,53a2f082,0,0,2,La Liga,53a2f082
f8b5680f,Victor Munoz,Forward,None,None,21,Spain,53a2f082,0,0,2,La Liga,53a2f082
79310b33,Daniel Yanez,Midfielder,Left,177,18,Spain,53a2f082,0,0,1,La Liga,53a2f082
aa2aab45,David Jimenez,Defender,None,None,21,Spain,53a2f082,0,0,0,None,53a2f082
ce299469,Mario Rivas,Defender,None,None,18,Spain,53a2f082,0,0,0,None,53a2f082
ad15a64d,Victor Valdepenas,Defender,None,None,18,Spain,53a2f082,0,0,0,None,53a2f082
36a26cbc,Pol Fortuny,Midfielder,None,None,20,Spain,53a2f082,0,0,0,None,53a2f082
8f6272c2,Youssef Lekhedim,Defender,None,None,19,Spain,53a2f082,0,0,0,None,53a2f082
3d5a0a58,Hugo de Llanos,Midfielder,None,None,20,Spain,53a2f082,0,0,0,None,53a2f082
b2cd9dff,Sergio Mestre,Goalkeeper,None,193,20,Spain,53a2f082,0,0,0,None,53a2f082
4b3e1a38,Amir Rrahmani,Defender,Right,190,31,Kosovo,d48ad4ff,1,3,38,Serie A,27b6696c ea115eb3 edd0d381 0e72edf2 d48ad4ff
230a2fac,Giovanni Di Lorenzo,Defender Midfielder,Right,184,31,Italy,d48ad4ff,3,2,37,Serie A,46f8c29f d48ad4ff a3d88bd8
9413b19f,Alex Meret,Goalkeeper,Left,185,28,Italy,d48ad4ff,0,0,34,Serie A,1d2fe027 04eea015 d48ad4ff
6bb2c084,Andre-Frank Zambo Anguissa,Midfielder,Right,184,29,Cameroon,d48ad4ff,6,4,35,Serie A,2a8183b3 5725cc7b fd962109 d48ad4ff 7fdd64e0
d93c2511,Scott McTominay,Midfielder,Right,192,28,Scotland,d48ad4ff,12,4,36,Serie A,d48ad4ff 92aca032 19538871
5e861944,Matteo Politano,Midfielder Forward,Left,170,31,Italy,d48ad4ff,3,4,37,Serie A,d609edc0 d48ad4ff e2befd26 b985784c
5eae500a,Romelu Lukaku,Forward,Left,192,32,Belgium,d48ad4ff,14,10,36,Serie A,60c6b05f cff3d9bb 19538871 08ad393c cf74a709 d3fd31cc d48ad4ff d609edc0
e1cbb531,Stanislav Lobotka,Midfielder,Right,170,30,Slovakia,d48ad4ff,0,1,32,Serie A,a26209d7 d48ad4ff f25da7fb 1850e3f9
41c12f75,Mathias Olivera,Defender,Left,184,27,Uruguay,d48ad4ff,0,2,32,Serie A,b7e3e46e 26ebba72 d48ad4ff 7848bd64
4ae67f27,Alessandro Buongiorno,Defender,Left,192,25,Italy,d48ad4ff,1,0,22,Serie A,105360fe d48ad4ff a6a65dea 71f07916
3626daea,Leonardo Spinazzola,Defender Midfielder,Right,186,32,Italy,d48ad4ff,1,1,27,Serie A,e0652b02 2591250b 215a8f32 45a2f824 37cba288 cf74a709 d48ad4ff a3d88bd8 922493f3
4f1e6a0b,David Neres,Midfielder Forward,Left,175,28,Brazil,d48ad4ff,2,4,28,Serie A,a26209d7 5f232eb1 a77c513e 19c3f8c4 d48ad4ff
df10e27c,Billy Gilmour,Midfielder,Right,170,23,Scotland,d48ad4ff,0,1,28,Serie A,1c781004 cff3d9bb 09080694 d07537b9 d48ad4ff
6e058f06,Giacomo Raspadori,Midfielder Forward,Right,172,25,Italy,d48ad4ff,6,1,26,Serie A,d48ad4ff e2befd26
dea88efd,Khvicha Kvaratskhelia,Midfielder Forward,Right,183,24,Georgia,e2d8892c,11,8,39,Ligue 1,e2d8892c d48ad4ff 5625a7da 5a8dc328
79083382,Juan Jesus,Defender,Left,185,33,Brazil,d48ad4ff,0,1,15,Serie A,cf74a709 d48ad4ff d609edc0
eb0ec070,Pasquale Mazzocchi,Defender Midfielder,Right,183,29,Italy,d48ad4ff,0,0,20,Serie A,37cba288 af5d5982 c5577084 d48ad4ff eab4234c
343c0d52,Giovanni Simeone,Forward,Right,181,29,Argentina,d48ad4ff,1,1,30,Serie A,c4260e09 ef99c78c 421387cf 658bf2de 0e72edf2 d48ad4ff 06c1606c
97d7afbd,Elia Caprile,Goalkeeper,Right,191,23,Italy,c4260e09,0,0,22,Serie A,a93e668c c4260e09 5bfb9659 cc919b35 a3d88bd8 01baa639 d48ad4ff
2b8360f1,Cyril Ngonge,Midfielder Forward,Left,179,25,Belgium,d48ad4ff,0,0,18,Serie A,e334d850 bb14adb3 f1e6c5f1 8e1ea572 0e72edf2 d48ad4ff bec05adb
3239a8ed,Rafa Marin ,Defender,None,191,23,Spain,d48ad4ff,0,0,4,Serie A,8d6fd021 53a2f082 d48ad4ff
